[2024-08-24T10:00:12Z INFO  librespot] librespot 0.4.2 UNKNOWN (Built on 2024-08-23, Build ID: 1TGQBjMf, Profile: release)
[2024-08-24T10:01:25Z WARN  librespot_core::apresolve] Ignoring blacklisted access point ap-gue1.spotify.com:443
[2024-08-24T10:01:25Z INFO  librespot_core::session] Connecting to AP "ap-gae2.spotify.com:4070"
[2024-08-24T10:01:25Z INFO  librespot_core::session] Authenticated as "2408dn2tcwu4tgswcpu6bibqt" !
[2024-08-24T10:01:25Z INFO  librespot_playback::mixer::softmixer] Mixing with softvol and volume control: Log(60.0)
[2024-08-24T10:01:25Z INFO  librespot_playback::convert] Converting with ditherer: tpdf
[2024-08-24T10:01:25Z INFO  librespot_playback::audio_backend::rodio] Using Rodio sink with format S16 and cpal host: ALSA
[2024-08-24T10:01:25Z INFO  librespot_playback::audio_backend::rodio] Using audio device: default
[2024-08-24T10:01:25Z INFO  librespot_core::session] Country: "AU"
[2024-08-24T10:01:26Z INFO  librespot_playback::player] Loading <The Winner Takes It All> with Spotify URI <spotify:track:3oEkrIfXfSh9zGnE7eBzSV>
[2024-08-24T10:01:29Z INFO  librespot_playback::player] <The Winner Takes It All> (294720 ms) loaded
